phrase	tag
a thlurin	ADV
a thlûrin	ADV
a tingtawm zawngin	ADV
a tingtawm zâwngin	ADV
a tingtawmin	ADV
a tipah	ADV
a tirah	ADV
a tirin	ADV
a tlachawpin	ADV
a tlai a tlaiin	ADV
a tlar tluanin	ADV
a tlarin	ADV
a tlawnin	ADV
a tlâwnin	ADV
a tluanin	ADV
a tuk a telin	ADV
a tûk a telin	ADV
a tuk a tinin	ADV
a tûk a tinin	ADV
a tuk zawnin	ADV
a tuk zâwnin	ADV
a tûk zawnin	ADV
a tûk zâwnin	ADV
a tukah	ADV
a tûkah	ADV
a tuklehah	ADV
a tûklehah	ADV
a tum a tlangin	ADV
a tung zawngin	ADV
a tung zâwngin	ADV
a tur a hrangin	ADV
a tur a hrângin	ADV
a tûr a hrangin	ADV
a tûr a hrângin	ADV
a ui liahin	ADV
a va	ADV
a va ek dawng zawngin	ADV
a va ek dawng zâwngin	ADV
a va êk dawng zawngin	ADV
a va êk dawng zâwngin	ADV
a vang zawngin	ADV
a vang zâwngin	ADV
a váng zawngin	ADV
a váng zâwngin	ADV
a vawk mutin	ADV
a velin	ADV
a vêlin	ADV
a vingvetin	ADV
a vingvêtin	ADV
a vingvialin	ADV
a zaizap zawngin	ADV
a zaizâp zâwngin	ADV
a zan a tinin	ADV
a zan a zanin	ADV
a zàn a zànin	ADV
a zan la lain	ADV
a zan la laîn	ADV
a zan zawnin	ADV
a zan zâwnin	ADV
a zanah	ADV
a zangkhai zawngin	ADV
a zangkhai zâwngin	ADV
a zángkhái zawngin	ADV
a zángkhái zâwngin	ADV
a zangthalin	ADV
a zawnin	ADV
a zâwnin	ADV
a zemin	ADV
a zêmin	ADV
ah ah	ADV
ahnu hmanah	ADV
aih aih	ADV
aikam ek hauh	ADV
al al	ADV
alh alh	ADV
am am	ADV
ang angin	ADV
ang lawi	ADV
ang zelin	ADV
ang ziazangin	ADV
ang ziazângin	ADV
ap ap	ADV
ar ar	ADV
âr âr	ADV
ar nghal venin	ADV
ar nghal vènin	ADV
âr nghal venin	ADV
âr nghal vènin	ADV
au au	ADV
auh auh	ADV
awh awh	ADV
awih awih	ADV
awm takin	ADV
àwm takin	ADV
awn awn	ADV
awr awr	ADV
awrh awrh	ADV
âwrh âwrh	ADV
awt awt	ADV
âwt âwt	ADV
awzawng lo	ADV
awzâwng lo	ADV
baiah mah	ADV
baih lo	ADV
baih sarakah mah	ADV
bak bak	ADV
bǎk bǎk	ADV
bak lengin	ADV
bak lèngin	ADV
bak takin	ADV
baksak lo	ADV
bam bam	ADV
bâm bâm	ADV
bar bar	ADV
bár bár	ADV
bar lo	ADV
bara khawn lo	ADV
barh barh	ADV
bawl bawl	ADV
bawp bawp	ADV
bawr bawr	ADV
bawrh bawrh	ADV
be bu	ADV
bem bem	ADV
beng sik meuhvin	ADV
beng tharin	ADV
buk buk	ADV
bul bul	ADV
bulh bulh	ADV
bum bum	ADV
bur bur	ADV
būr būr	ADV
cha kawk	ADV
chai lo	ADV
chak ai hawlh	ADV
chak chak	ADV
châk châk	ADV
chak takin	ADV
châk takin	ADV
chalchheh takin	ADV
chang chang	ADV
châng châng	ADV
chang lo	ADV
chatlak lovin	ADV
chauh chauh	ADV
chawih chawih	ADV
cháwih cháwih	ADV
chawk chawk	ADV
chawmal tla	ADV
chawn dotu	ADV
chawp chawp	ADV
chawp leh chilhin	ADV
chawr chawr	ADV
chawt chawt	ADV
châwt châwt	ADV
che che	ADV
che chê	ADV
chè che	ADV
chè chê	ADV
chê chê	ADV
che lo chang lovin	ADV
che lo châng lovin	ADV
chei chul	ADV
chek chek	ADV
chek chekah	ADV
chel chal	ADV
chel châl	ADV
chêl chal	ADV
chêl châl	ADV
chem chem	ADV
chem kalzawng	ADV
chen chen	ADV
cher cher	ADV
chet chet	ADV
chet chêt	ADV
chêt chêt	ADV
cheu cheu	ADV
cheuh cheuh	ADV
chhak chhak	ADV
chhak chhuak	ADV
chhakchhuak hmun phiah	ADV
chhakta zawk	ADV
chhal ha	ADV
chhawk chhawk	ADV
chhawng chhawng	ADV
chhawr chhawr	ADV
chhe har	ADV
chhe zawk	ADV
chhe zâwk	ADV
chhek chhek	ADV
chhek in	ADV
chhelh chhawlh	ADV
chheng chheng	ADV
chhep chhep	ADV
chhep darh	ADV
chher chher	ADV
chhet chhet	ADV
chhia va	ADV
chhing chheng	ADV
chhum chhum	ADV
chhum lo chat lovin	ADV
chhung lam	ADV
chhung pawng	ADV
chhungkaw bawngbawrin	ADV
chhûngkaw bawngbawrin	ADV
chhungkaw bel vawnin	ADV
chhungkaw bêl vawnin	ADV
chhûngkaw bel vawnin	ADV
chhûngkaw bêl vawnin	ADV
chhut chhut	ADV
chiah chhuah	ADV
chiah chiah	ADV
chiah hnip	ADV
chiah pil	ADV
chiai chiai	ADV
chiam chiam	ADV
chiang takin	ADV
chiangkuang lo	ADV
chiap chiap	ADV
chiar chiar	ADV
chiâr chiâr	ADV
chim buai	ADV
chim chem	ADV
chim chêm	ADV
chîm chem	ADV
chîm chêm	ADV
chin hriat	ADV
chip chep	ADV
chip pui	ADV
chipchiar takin	ADV
chipchiár takin	ADV
chir cher	ADV
cho cho	ADV
chu achhapah	ADV
chu leh chen	ADV
chu veleh	ADV
chu zozai	ADV
chu zozái	ADV
chuah chuah	ADV
chuai chuai	ADV
chual chual	ADV
chuang chhuak	ADV
chuap chuap	ADV
chuâp chuâp	ADV
chuar chuar	ADV
chuat chhuat	ADV
chuât chhuât	ADV
chuat chuai	ADV
chuat chuat	ADV
chuât chuât	ADV
chui chui	ADV
chuih chuih	ADV
chul chul	ADV
chum chiap	ADV
chum chiáp	ADV
chum chum	ADV
chungchang thu	ADV
chungnung ber	ADV
chungnung her	ADV
chungtlak takin	ADV
chungtlâk takin	ADV
chuti emin	ADV
chuti êmin	ADV
chuti khati	ADV
chuti lo chuan	ADV
chuti zat	ADV
chuti zât	ADV
chuti zat zat	ADV
chuti zât zât	ADV
chutih a hnekin	ADV
chutih hunah chuan	ADV
chutih laiah chuan	ADV
dah ang e	ADV
dah dah	ADV
dah lawng e	ADV
dah lâwng e	ADV
dam dam	ADV
dâm dâm	ADV
dam velvawl	ADV
dap dap	ADV
dar dar	ADV
dar dár	ADV
dawm dawm	ADV
dawm ding	ADV
dawm hlum	ADV
dawn dawn	ADV
dâwn dâwn	ADV
dawn lai	ADV
dâwn lai	ADV
dawn mek	ADV
dawn mêk	ADV
dâwn mek	ADV
dâwn mêk	ADV
dawn ta	ADV
dâwn ta	ADV
dawn tep	ADV
dawn țep	ADV
dawn țêp	ADV
dâwn țep	ADV
dâwn țêp	ADV
dawp dawp	ADV
dawr dawr	ADV
dàwr dàwr	ADV
dawrh dawrh	ADV
dâwrh dâwrh	ADV
dawt dawt	ADV
dâwt dâwt	ADV
de de	ADV
dè dè	ADV
de ser ser	ADV
de set set	ADV
dê sêt sêt	ADV
de sur	ADV
de ve ve	ADV
de vê vê	ADV
de vu vu	ADV
deh chet	ADV
deh deh	ADV
dek dek	ADV
dêk dêk	ADV
del del	ADV
dèl dèl	ADV
delh delh	ADV
dem dem	ADV
den den	ADV
dên dên	ADV
dep dep	ADV
dêp dêp	ADV
der der	ADV
der lo	ADV
dêr lo	ADV
derh derh	ADV
dêrh dêrh	ADV
deu chhuang	ADV
deu deu	ADV
deuh deuh	ADV
deuh fo	ADV
deuh hlek	ADV
deuh thin	ADV
diah diah	ADV
diai diai	ADV
diak diak	ADV
diam diam	ADV
diar diar	ADV
dim dim	ADV
dim lo	ADV
dir lo	ADV
dirh derh	ADV
do do	ADV
dum a	ADV
dum dum	ADV
dumde ruang chen	ADV
dun dun	ADV
dûn dûn	ADV
dup dup	ADV
dur dur	ADV
dur dûr	ADV
dùr dur	ADV
dùr dùr	ADV
dùr dûr	ADV
durh durh	ADV
dûrh dûrh	ADV
dut dut	ADV
dút dút	ADV
dût dût	ADV
e ti lovin	ADV
ei ngai	ADV
ek awk	ADV
ek âwk	ADV
ék awk	ADV
ék âwk	ADV
èk awk	ADV
èk âwk	ADV
êk awk	ADV
êk âwk	ADV
el el	ADV
êl êl	ADV
el eu	ADV
êl eu	ADV
elh elh	ADV
em em	ADV
êm êm	ADV
em uh	ADV
eng atan mah	ADV
eng atân mah	ADV
eng dang mah	ADV
eng emaw zat	ADV
eng emaw zât	ADV
eng emin	ADV
eng êmin	ADV
eng hnung puak	ADV
eng hunah emaw	ADV
eng hunah pawh	ADV
eng lai mahin	ADV
eng lai pawhin	ADV
eng te mah	ADV
eng ti nge	ADV
eng tik khaw tikah mah	ADV
eng tik niah emaw	ADV
eng tikah emaw	ADV
eng tikah mah	ADV
eng tikah nge	ADV
eng tikah pawh	ADV
eng vang nge	ADV
eng zah	ADV
eng zat em nge	ADV
eng zat êm nge	ADV
eng zât em nge	ADV
eng zât êm nge	ADV
eng zat emaw	ADV
eng zât emaw	ADV
eng zat pawh	ADV
eng zât pawh	ADV
eng zawngin nge	ADV
eng zâwngin nge	ADV
engti pawhin	ADV
engtikah emaw	ADV
engtin chuan	ADV
engtin mah	ADV
engtin nge	ADV
engtin tak	ADV
er er	ADV
êr êr	ADV
er ngawng	ADV
er ngàwng	ADV
er teh	ADV
erkawn zik	ADV
eu eu	ADV
euh euh	ADV
fahming koh	ADV
fai fai	ADV
fak ar ek	ADV
fak fak	ADV
fal fal	ADV
falh falh	ADV
fan fan	ADV
fanau hrawk chawm	ADV
fang fang	ADV
far far	ADV
fawi fawi	ADV
fawih fawih	ADV
fawng fawng	ADV
fawng tawng	ADV
fe fe	ADV
feh em	ADV
feh êm	ADV
fek fek	ADV
fel fel	ADV
feng lo	ADV
fep fep	ADV
fer fer	ADV
fer fur	ADV
ferh therh	ADV
fi hmawk mai	ADV
fik hmawk mai	ADV
fir fer	ADV
fir fir	ADV
fit hl a	ADV
fu fu	ADV
fuih fuih	ADV
fuk fuk	ADV
fûk fûk	ADV
fun fan	ADV
fun fun	ADV
fung fung	ADV
funpui er	ADV
fur chhe	ADV
fur chhia	ADV
fûr chhia	ADV
fur chhiat	ADV
fur fur	ADV
ha ha	ADV
hâ hâ	ADV
hah hah	ADV
hah hnepin	ADV
hah hnêpin	ADV
hah leh hah	ADV
hah thi kalin	ADV
hah thi kâlin	ADV
hah thi kulin	ADV
hah thi kulîn	ADV
hah thi kûlin	ADV
hah thi kûlîn	ADV
hahchawlh ni	ADV
hahdam takin	ADV
hai rual	ADV
haih haih	ADV
hak hak	ADV
hâk hâk	ADV
hal hal	ADV
halh halh	ADV
ham ham	ADV
han han	ADV
hap hap	ADV
har har	ADV
hau titak	ADV
hauh hauh	ADV
hauh lo	ADV
haw haw	ADV
hâw hâw	ADV
hawh hawh	ADV
hawi hawi	ADV
hawk hawk	ADV
hâwk hâwk	ADV
hawl hawl	ADV
hawlh hawlh	ADV
hawm hawm	ADV
hawr hawr	ADV
hawrh hawrh	ADV
hawrh hâwrh	ADV
hâwrh hâwrh	ADV
hei leh chen hi	ADV
hel hel	ADV
hem hem	ADV
hen hen	ADV
heti chen	ADV
heti zat	ADV
heti zât	ADV
hetiang hi	ADV
heuh hawuh	ADV
heuh háwuh	ADV
héuh hawuh	ADV
héuh háwuh	ADV
heuh heuh	ADV
hial hial	ADV
hiâl hiâl	ADV
hiar hiar	ADV
hiau hiau	ADV
hiâu hiâu	ADV
hil hel	ADV
hil hèl	ADV
hil hêl	ADV
hil hil	ADV
him takin	ADV
hlado chham	ADV
hlai hlai	ADV
hlâi hlâi	ADV
hlak hlak	ADV
hlau hlawpin	ADV
hláu hlawpin	ADV
hlauh pek	ADV
hlauhthawn thuah	ADV
hlauhthâwn thuah	ADV
hlawh chhuak	ADV
hlawi hlawi	ADV
hlâwi hlâwi	ADV
hlawi lo	ADV
hlawih hlawih	ADV
hlawk hlawk	ADV
hlawl lo	ADV
hlawp hlawp	ADV
hlawt hlawt	ADV
hle hle	ADV
hleh bleb	ADV
hleh hleh	ADV
hlei hlei	ADV
hlei iawng e	ADV
hlei lawng e	ADV
hlei lo	ADV
hlei nang	ADV
hlei nâng	ADV
hlei sarih zan	ADV
hleih hleih	ADV
hleiruk zan	ADV
hlek hlek	ADV
hlek lo	ADV
hlel lo	ADV
hlelh lo	ADV
hlep hlep	ADV
hlep ruk	ADV
hliah hliah	ADV
hlîah hlîah	ADV
hliam hliam	ADV
hlîam hlîam	ADV
hliau hliau	ADV
hlih kian	ADV
hliim hliam	ADV
hlim hlawl	ADV
hlim thei	ADV
hlip kiang	ADV
hlip thla	ADV
hlir hlak	ADV
hlír hlak	ADV
hlîr hlak	ADV
hlir hlir	ADV
hlír hlír	ADV
hlîr hlîr	ADV
hlu hlu	ADV
hluk hluk	ADV
hma ngaih	ADV
hma zawngin	ADV
hmai fai duh	ADV
hmai hriam	ADV
hmai hup	ADV
hman ata tawh	ADV
hman chakah	ADV
hman châkah	ADV
hman chauhva	ADV
hman hlawl	ADV
hman lawkah	ADV
hmang zai	ADV
hmanni lawkah	ADV
hmar kil	ADV
hmar lamah	ADV
hmasa ber	ADV
hmasak ber	ADV
hmawk hmawk	ADV
hmerh hmerh	ADV
hming pu chauhin	ADV
hmu tlang	ADV
hna hna	ADV
hnâ hnâ	ADV
hnai la	ADV
hnai lo	ADV
hnang hnang	ADV
hnawh tawngkhawng	ADV
hnawhsarum takin	ADV
hne hne	ADV
hne hnê	ADV
hnè hne	ADV
hnè hnê	ADV
hnek hmun	ADV
hnek hnek	ADV
hnelh hnelh	ADV
hnial dan	ADV
hnial rual lohvin	ADV
hniang hniang	ADV
hniáng hniáng	ADV
hnuk hnuk	ADV
hnung tawlh	ADV
hrakawng hawp	ADV
hram hram	ADV
hrâm hrâm	ADV
hrawng khawm	ADV
hrawt hrawt	ADV
hre hre	ADV
hrek hrek	ADV
hri dai	ADV
hriah hriah	ADV
hrilh chhawng	ADV
hrilhai dalah	ADV
hrilhfiahna bu	ADV
hrim hrim	ADV
hrim lo	ADV
hru hru	ADV
hruah hruah	ADV
hruam hruam	ADV
hu hu	ADV
hû hu	ADV
hû hû	ADV
huai huai	ADV
huâi huâi	ADV
huam huam	ADV
huâm huâm	ADV
huau huau	ADV
huâu huâu	ADV
huh huh	ADV
hulh hulh	ADV
hulhu suak	ADV
hum hum	ADV
hurh hurh	ADV
hûrh hûrh	ADV
hut hut	ADV
'i he lovin	ADV
i khaw lo	ADV
i khâw lo	ADV
iak iak	ADV
iâk iâk	ADV
iar iar	ADV
iár iár	ADV
'i-he lovin	ADV
inhawi tawnin	ADV
inhmu nep	ADV
inhmu nêp	ADV
inhmuh nep	ADV
inhmuh nêp	ADV
inhnawt chawpin	ADV
inrem khawm	ADV
inrin loh hlanin	ADV
inrin loh hlànin	ADV
inti takin	ADV
ir er	ADV
ir êr	ADV
îr er	ADV
îr êr	ADV
kak kak	ADV
kam tluanin	ADV
kap parh	ADV
kar kar	ADV
kar lova	ADV
kar zin	ADV
karh karh	ADV
karkalak zau	ADV
kat chhui	ADV
kat kat	ADV
kât kât	ADV
kawih vei vul	ADV
kawlh vel vul	ADV
kawlkil thlengin	ADV
kâwlkil thlengin	ADV
kawng fek	ADV
kawng kham zawngin	ADV
kawng kham zâwngin	ADV
kawng khat	ADV
kawng laka	ADV
kawng su pawp	ADV
kawng tluanin	ADV
kawr ruakin	ADV
keipui sa hauh	ADV
ker ker	ADV
keuh keuh	ADV
kha ta	ADV
kham kar	ADV
kham zawngin	ADV
kham zâwngin	ADV
khangho khapro	ADV
khat il	ADV
khaw te	ADV
khaw tin khawtang	ADV
khaw tina	ADV
khawi chuai	ADV
khawi dang	ADV
khawi emaw	ADV
khawi ilovah	ADV
khawi inting	ADV
khawi la	ADV
khawi lo	ADV
khawi thul chhin	ADV
khawi thûl chhin	ADV
khawi tu	ADV
khawi vanrial	ADV
khawia kimah	ADV
khawiah - va - suh	ADV
khawiah mah	ADV
khawiah nge	ADV
khawiah pawh	ADV
khawiah tai	ADV
khawiah tehlul	ADV
khawikhuai thingawn	ADV
khawikhuai thingâwn	ADV
khawn khawn	ADV
khawn kháwn	ADV
khawngaih hmel put	ADV
khawnvar khai mi	ADV
khawp hialin	ADV
khawp khawp	ADV
khawp laiin	ADV
khawram chhimbuk ang	ADV
khawtlang lunglen	ADV
khawtlâng lunglen	ADV
khawtlâng lunglèn	ADV
khawtlang lunglena	ADV
khawtlang lunglèna	ADV
khawtlang lunglenin	ADV
khawvar ţian	ADV
khawvâr ţian	ADV
khawvar tiana	ADV
khawvar ţiana	ADV
khawvâr ţiana	ADV
khawvar tianah	ADV
khawvâr tirh	ADV
khawvâr tîrh	ADV
khawvar tirh ata	ADV
khawvâr tirh ata	ADV
khawvar tirh atangin	ADV
khel fai	ADV
khēl lo	ADV
kher chhuak	ADV
kher hlum	ADV
kher kher	ADV
kher lo	ADV
kher loh	ADV
khet khet	ADV
khi khik chat	ADV
khing chhia	ADV
khing chhifit	ADV
khing hnih	ADV
khing hnihin	ADV
khir nei	ADV
khir neih	ADV
khita khi	ADV
khita mi	ADV
khita ta	ADV
khitiang khi	ADV
khul khul	ADV
khulh khulh	ADV
khumpui kai man	ADV
khun khan	ADV
khun khàn	ADV
khup hnih hmu	ADV
khûp khat hmu	ADV
khup khup	ADV
khur chhia	ADV
khur khur	ADV
khuta khu	ADV
khutah khuan	ADV
khuti khuan	ADV
kian thawl	ADV
kiang hnaiah	ADV
kil li	ADV
kil thum	ADV
kil tin	ADV
kil tin kil tang	ADV
kil tin kil tang ata	ADV
kil tin kil tang aţangin	ADV
kil tinah	ADV
kim biai	ADV
kim biaiiin	ADV
kim chang	ADV
kim chang takin	ADV
kim changin	ADV
kiu ruh	ADV
kiuhit chuk	ADV
koh ko khâwm	ADV
koki bal	ADV
kua thuah	ADV
kuhva ruih	ADV
kui ţiak	ADV
kum chhirin	ADV
kum sul vei	ADV
kum telin	ADV
kum thar	ADV
kum thum ţul	ADV
kum tlin	ADV
kut ben	ADV
kut beng	ADV
kut bêng	ADV
kut inman	ADV
kut phut	ADV
kut phût	ADV
la khuih	ADV
lai ah hming	ADV
lai khuar	ADV
lai lai	ADV
lai phut	ADV
lai ta	ADV
lai tak	ADV
lai tan	ADV
lai zâwl	ADV
laih khuar	ADV
laihrui nat	ADV
laiking fa neih	ADV
lam kawi	ADV
lâm lut	ADV
lau lui	ADV
law law	ADV
law lăw	ADV
làw làw	ADV
lâw lăw	ADV
lawi samkhuih	ADV
lawk lawk	ADV
lâwk lâwk	ADV
lawk loh	ADV
làwm hmelpu	ADV
làwm rilrûk	ADV
lawm rual hawn a hun ta	ADV
lawng kehna	ADV
lawnga mi	ADV
lawp lawp	ADV
lawr khawm	ADV
lâwr khâwm	ADV
lawr lawr	ADV
lawr lâwr	ADV
lawt kai	ADV
lâwt kai	ADV
lawt lak	ADV
lâwt lak	ADV
lazar ban	ADV
leh bawk	ADV
leh burh	ADV
leh chen	ADV
leh chhawn	ADV
leh chhàwn	ADV
leh chhuah	ADV
leh chingkim	ADV
leh chuan	ADV
leh chuang	ADV
leh hawi	ADV
leh hla	ADV
leh hnih	ADV
leh lo	ADV
leh ngat	ADV
leh phei chuan	ADV
leh phung	ADV
leh sauh	ADV
leh thlaksak	ADV
leh thllk	ADV
lehkha cheh behna	ADV
lek emin	ADV
lek fang	ADV
lek lek	ADV
lelte hmuam ang	ADV
lep lawp	ADV
lep lâwp	ADV
lêp lawp	ADV
lêp lâwp	ADV
lerh lerh	ADV
let chhuak	ADV
let leh	ADV
lêt leh	ADV
let thla	ADV
let tup tup	ADV
leu leu	ADV
li cheng	ADV
liam chang	ADV
liangsei vaihlo	ADV
lim ik	ADV
lo kîr	ADV
lo liam	ADV
lo lo nghah	ADV
lo lo nghâh	ADV
lo nghak	ADV
lo pawh	ADV
lo pawm	ADV
loh a luatah	ADV
loh chuan	ADV
loh lam	ADV
loh loh	ADV
lu khuh	ADV
lu khuh tlang	ADV
lu khup	ADV
lu khûp	ADV
lu len	ADV
lu zawrh	ADV
luai luai	ADV
luâi luâi	ADV
luang la	ADV
luh thluk	ADV
lui hnar kin	ADV
lui hnâr kin	ADV
lui hram	ADV
lui kai	ADV
lui kawr	ADV
lui lam	ADV
lui phai	ADV
lui ruam	ADV
lui-dung thizil	ADV
lui-dung thîzîl	ADV
luih hram	ADV
lul suh	ADV
lum lam	ADV
lum lám	ADV
lungchhiat pui	ADV
lut tir	ADV
ma lek	ADV
ma ngai	ADV
ma ta che	ADV
mahni thu hman	ADV
maimaw zai	ADV
mâk loh	ADV
mak mawh	ADV
mak ti	ADV
mal zawn	ADV
maltluan chawi	ADV
maltluan châwi	ADV
maltluan chawiin	ADV
man mi	ADV
man pek	ADV
mang lo	ADV
manzang bapui	ADV
mar dek	ADV
mar dek thiam	ADV
mar mar	ADV
mar zan	ADV
martara thi	ADV
mei hnung puak	ADV
met kawng	ADV
mi hliam	ADV
mi thi	ADV
mi thî	ADV
mi tin	ADV
mi tlahlang	ADV
mi zikbul	ADV
mi zin veivak	ADV
mial mial	ADV
mit khap	ADV
mit khap kar	ADV
mit khap kâr	ADV
mouh mouh	ADV
muai liam	ADV
na chuan	ADV
na hawng	ADV
na hâwng	ADV
na neih	ADV
nak na	ADV
naka laiin	ADV
nam dawrh	ADV
nang ching	ADV
nang chîng	ADV
nasa khawp	ADV
nasa takin	ADV
nawmsak bawl	ADV
nawr mamna	ADV
nawt fai	ADV
ne ne in	ADV
neih chhun	ADV
neihfaka rilbawm	ADV
nek chhuak	ADV
nêk chhuak	ADV
nel nel	ADV
nema chhinchhiah	ADV
ngai hua	ADV
ngâi kàwi	ADV
ngaih huat	ADV
ngak ngak	ADV
ngâk ngâk	ADV
ngang lo	ADV
ngar kheng	ADV
ngaw ngaw	ADV
ngâw ngâw	ADV
ngawi tlangpui	ADV
ngawr hrik	ADV
ngawt e	ADV
ngawt ngawt	ADV
ngawt suah	ADV
ngei chhap a	ADV
ngei ngei	ADV
ngei ngêi	ADV
ngéi ngei	ADV
ngéi ngêi	ADV
ngeih lo	ADV
ngek ngek	ADV
ngêk ngêk	ADV
ngelh ngelh	ADV
nget kaw	ADV
nget kua	ADV
nghâwng kawr	ADV
ngheng lum	ADV
nghèng lum	ADV
nghet lo	ADV
ngheuh ngheuh	ADV
nghial nghial	ADV
nghiat nghiat	ADV
nghiau nghiau	ADV
nghil nghial	ADV
nghilh ngheh	ADV
ngho kheng	ADV
ngi si	ADV
ngiah ngiah	ADV
ngialngan takin	ADV
ngiu ngiau	ADV
nguai nguai	ADV
ngum ruh	ADV
ngun takin	ADV
ngût lo	ADV
ngut ngut	ADV
ni chhuah	ADV
ni chhûn en	ADV
ni chin hriatna	ADV
ni chuah	ADV
ni chuan	ADV
ni chuàn	ADV
ni chuang	ADV
ni hualtu	ADV
ni kang	ADV
ni kin ni	ADV
ni kir	ADV
ni lakin	ADV
ni lo lo	ADV
ni lum	ADV
ni sei	ADV
ni suh e	ADV
ni takin	ADV
niah niah	ADV
niai nuai	ADV
niai pawl	ADV
niak nuak	ADV
niau khák	ADV
nichin lawkah	ADV
ou khat	ADV
ou ou	ADV
oû oû	ADV
ouh ouh	ADV
pa leh pa	ADV
pa tung	ADV
pa va	ADV
pachhiat kum	ADV
pahnih khat	ADV
pang maia	ADV
pang pang	ADV
pangang kangthai	ADV
pawih anthur	ADV
pawt chat	ADV
pen zing	ADV
pep pep	ADV
per pawr	ADV
per pàwr	ADV
pha hul	ADV
phal thu	ADV
pha-man ziahin	ADV
phan phan	ADV
phang bachhim	ADV
pharv that	ADV
phawk hru	ADV
phawrh chhuak	ADV
phawt phawt	ADV
phâwt phâwt	ADV
phe chhên	ADV
phe chung	ADV
phe en	ADV
phe èn	ADV
phe mer mer	ADV
phe mer phet	ADV
phê phe	ADV
pher phek	ADV
pherh hrep	ADV
phet en	ADV
phet èn	ADV
pheuh pheuh	ADV
phiar phek	ADV
phui hnawng	ADV
phun nun	ADV
phur chhia	ADV
phurh hlawh	ADV
phût neih	ADV
phut phelh	ADV
pi khâwi	ADV
pi sa um bur	ADV
pi tu	ADV
piai piai	ADV
piâi piâi	ADV
pial lung	ADV
piâl lung	ADV
pian leh murnah	ADV
piang hmun rial	ADV
pianna ram	ADV
piap piap	ADV
pil khawk	ADV
ping pei	ADV
ping pei khawtlai	ADV
ping pei khawtlái	ADV
pir per	ADV
pir pèr	ADV
pîr per	ADV
pîr pèr	ADV
pit dawr tia	ADV
pît dawr tia	ADV
pit pet	ADV
pit pêt	ADV
puâla lum	ADV
puipun ni	ADV
pûk chhe-hul	ADV
pusum tel	ADV
pusum têl	ADV
ra ra	ADV
ra rà	ADV
râ rà	ADV
rai teuh	ADV
rak puan	ADV
rakzu thlawr bel	ADV
ral aih	ADV
râl aih	ADV
ral atangin	ADV
ral aṭangin	ADV
ramhuai aien thiam	ADV
ran khel beng	ADV
ran khêl bêng	ADV
ran lu kim	ADV
ran ran	ADV
rân rân	ADV
rang buai	ADV
ranin luh	ADV
rap pial	ADV
rapza kua	ADV
rat rat	ADV
raw hung	ADV
raw kuai	ADV
raw kuái	ADV
raw lai	ADV
rawh khu	ADV
rawh puâk	ADV
rawh ut	ADV
rawk railo	ADV
rawk ral	ADV
rawl ral hman	ADV
rawl râl hman	ADV
rawl tet	ADV
rawn kir-leh	ADV
rawn thlen	ADV
rawng awk	ADV
rawng herh	ADV
rawng hnawih	ADV
rawng rek	ADV
rawng rualin	ADV
rawng sen	ADV
rawnghnawihna fung	ADV
rawsawt hmarcha	ADV
rawt sawm vek	ADV
ré raw	ADV
ré râw	ADV
re re	ADV
re rê	ADV
ré re	ADV
ré rê	ADV
reh pawp	ADV
rei lo	ADV
rei lo te	ADV
rei lo tê	ADV
rei lo te achinah	ADV
rei lo tê achinah	ADV
rei lo te ah	ADV
rei lo tê ah	ADV
rei lo te an	ADV
rei lo tê an	ADV
rei lo te-ah	ADV
rei lo tê-ah	ADV
rei lo tê-an	ADV
rei lovin	ADV
rei rial lo	ADV
rek pawp	ADV
rel kalna	ADV
rel tu	ADV
rem chhoh	ADV
rem hre	ADV
rem lo	ADV
ren ngai	ADV
ren ngaih	ADV
reng an	ADV
reng chal	ADV
réng réng	ADV
rêng rêng	ADV
réng réng a	ADV
reng si	ADV
renthlei fin leh ar tial fin	ADV
rêt rawt	ADV
rêt râwt	ADV
ri rak	ADV
ri rawk	ADV
rià ral	ADV
rial tlak	ADV
ril phawrh	ADV
rîl phawrh	ADV
rîla rah	ADV
rilru deh	ADV
rilru dum	ADV
rim nam	ADV
rim nam lam	ADV
rin khum	ADV
rin khûm	ADV
rin loh hianin	ADV
ring khum	ADV
ring ruh tliah	ADV
rit châwi	ADV
rit kam	ADV
rit nt	ADV
rit ret	ADV
rit rêt	ADV
romei zam	ADV
ru thei	ADV
rua khau	ADV
ruah mual liam	ADV
ruah phingphi siau	ADV
ruai fatu	ADV
ruak lo	ADV
ruâk lo	ADV
rual el nachhang hria	ADV
rual pui	ADV
ruang chaicheh thlak	ADV
ruang hlâwm	ADV
ruh nget	ADV
ruh râwp	ADV
ruk hmang	ADV
rûk ru	ADV
rûl pai hawl	ADV
rulah chuan	ADV
rulhut damdawi	ADV
rum nat	ADV
run phek	ADV
run pui	ADV
run ril	ADV
run thlak	ADV
ru-sum thlak	ADV
ru-sum thlâk	ADV
sa rak	ADV
sa ràk	ADV
sa ràkin	ADV
sa ruai	ADV
sa ruang	ADV
sa tawl	ADV
sa té	ADV
sam dawi	ADV
sam pui	ADV
sang san	ADV
sâr hu lai	ADV
sat rek	ADV
sât sâng	ADV
saw chu	ADV
sawi hawt	ADV
sawi zawi	ADV
sawr chhuak	ADV
sâwr fû	ADV
sawr zim	ADV
se la	ADV
se lâ	ADV
se pumpui	ADV
se riai	ADV
sei lenna	ADV
sek rek	ADV
