phrase	tag
chuti zat zat	ADJ
dah dah	ADJ
daitam sazu	ADJ
daithlang lag	ADJ
daithlang lâg	ADJ
dam dam	ADJ
dam man awm	ADJ
dam rei	ADJ
dang lo	ADJ
dap chhuah	ADJ
dap dap	ADJ
dar dar	ADJ
dar dár	ADJ
dawl zawh	ADJ
dawm dawm	ADJ
dawn rual	ADJ
dâwn rual	ADJ
dawr dawr	ADJ
dawt dawt	ADJ
de chuai	ADJ
de de	ADJ
de ser ser	ADJ
de set set	ADJ
dê sêt sêt	ADJ
de sur	ADJ
de ve ve	ADJ
de vê vê	ADJ
de vu vu	ADJ
deh deh	ADJ
deh ral	ADJ
dek dek	ADJ
dêk dêk	ADJ
dek ral	ADJ
del del	ADJ
delh delh	ADJ
dem dem	ADJ
den den	ADJ
dên dên	ADJ
dep dep	ADJ
dêp dêp	ADJ
dep ngai	ADJ
dep ngâi	ADJ
dep ngaih	ADJ
der der	ADJ
deu chhuan	ADJ
deu deu	ADJ
deuh deuh	ADJ
diai diai	ADJ
diam diam	ADJ
diar diar	ADJ
dik lo	ADJ
dikdak lo	ADJ
dim thiam	ADJ
dimduai lo	ADJ
dîmduai lo	ADJ
din hual	ADJ
ding chhuah	ADJ
ding hawn	ADJ
dip dip	ADJ
dip ngai	ADJ
dip ngaih	ADJ
dúm a	ADJ
dum paw	ADJ
dum pâw	ADJ
dum pawl	ADJ
dum páwl	ADJ
dun dun	ADJ
dûn dûn	ADJ
dup dup	ADJ
dur dur	ADJ
durh durh	ADJ
dûrh dûrh	ADJ
eih eih	ADJ
ek awk	ADJ
ek âwk	ADJ
èk awk	ADJ
èk âwk	ADJ
êk awk	ADJ
êk âwk	ADJ
el awl	ADJ
el àwl	ADJ
èl awl	ADJ
èl àwl	ADJ
êl awl	ADJ
êl àwl	ADJ
el el	ADJ
el eu	ADJ
êl eu	ADJ
elh elh	ADJ
en phal loh	ADJ
enchim loh	ADJ
eng mah tham lo	ADJ
er er	ADJ
êr êr	ADJ
fah fei	ADJ
fak tlak	ADJ
fang tir	ADJ
fano dawi	ADJ
fap fei	ADJ
far far	ADJ
fawng fawng	ADJ
fawp fu	ADJ
fek fawn	ADJ
fêk fawn	ADJ
fek fek	ADJ
fel fel	ADJ
fel lo	ADJ
fep fep	ADJ
fer fer	ADJ
fer fur	ADJ
fet fet	ADJ
fêt fêt	ADJ
fiamthu thiam	ADJ
fiâmthu thiam	ADJ
fik awk	ADJ
fing lo	ADJ
fing vervek	ADJ
fu fu	ADJ
fuih fuih	ADJ
fuk fuk	ADJ
fumfe lo	ADJ
fung fung	ADJ
fur fur	ADJ
fur khawthiang	ADJ
fûr khawthiang	ADJ
ha ha	ADJ
hâ hâ	ADJ
ha hi	ADJ
hah hah	ADJ
hai hai	ADJ
haih haih	ADJ
hak fawng	ADJ
hak hak	ADJ
hâk hâk	ADJ
hal hal	ADJ
hang lam	ADJ
hap hap	ADJ
har har	ADJ
harh chhuak	ADJ
hauh hauh	ADJ
hauvawng dar	ADJ
haw haw	ADJ
hâw hâw	ADJ
hawh hawh	ADJ
hawi hawi	ADJ
hawihhai lo	ADJ
hawihhâi lo	ADJ
hawk dak	ADJ
hâwk dâk	ADJ
hawl hawl	ADJ
hawlh bung	ADJ
hawlh hawlh	ADJ
hawlrivap lung	ADJ
hawr hawr	ADJ
heh peh	ADJ
heh petin	ADJ
hei leh chen hi	ADJ
hel hel	ADJ
hel hmang	ADJ
hem dum	ADJ
hem hem	ADJ
hem ung	ADJ
hen hen	ADJ
heuh heuh	ADJ
hial hial	ADJ
hiâl hiâl	ADJ
hiar hiar	ADJ
hla hla	ADJ
hlâ hlâ	ADJ
hlawk hlawk	ADJ
hlawm khat	ADJ
hláwm khat	ADJ
hlawt hlawt	ADJ
hleipui meipar	ADJ
hlek hlek	ADJ
hlep thla	ADJ
hliah hliah	ADJ
hliau hliau	ADJ
hlim la	ADJ
hlim thei	ADJ
hling khei	ADJ
hling nei	ADJ
hlîng nei	ADJ
hling neih	ADJ
hlîng neih	ADJ
hlu hlu	ADJ
hluk hluk	ADJ
hma zawngin	ADJ
hma zim	ADJ
hmabak ko	ADJ
hmabak kô	ADJ
hmabâk ko	ADJ
hmabâk kô	ADJ
hmai bial	ADJ
hmái bial	ADJ
hmai hlai	ADJ
hmai hlâi	ADJ
hmái hlai	ADJ
hmái hlâi	ADJ
hmai khuh	ADJ
hmai mual	ADJ
hmái mual	ADJ
hmai pan	ADJ
hmái pan	ADJ
hmai sin	ADJ
hmai sîn	ADJ
hmái sin	ADJ
hmái sîn	ADJ
hmai tlang chhah	ADJ
hmái tlang chhah	ADJ
hmai tluak	ADJ
hmái tluak	ADJ
hmai tung	ADJ
hmái tung	ADJ
hman ata tawh	ADJ
hmán ata tawh	ADJ
hman nuam	ADJ
hman rim	ADJ
hman tlak	ADJ
hman tlâk	ADJ
hman wm	ADJ
hmana mi tawh	ADJ
hmang tha	ADJ
hmar hleng	ADJ
hmar kil	ADJ
hmasa ber	ADJ
hmei nelawm	ADJ
hmel nelawm	ADJ
hmêl nêlawm	ADJ
hmel thuar	ADJ
hmel thuâr	ADJ
hmêl thuar	ADJ
hmêl thuâr	ADJ
hmel thur	ADJ
hmêl thur	ADJ
hmelchhe baibawk	ADJ
hmelchhe baibâwk	ADJ
hmêlchhe baibawk	ADJ
hmêlchhe baibâwk	ADJ
hmelchhiat lai	 idm.	ADJ
hmêlchhiat lai	 idm.	ADJ
hmelhem lo	ADJ
hmelhriat loh mi	ADJ
hmerh hmerh	ADJ
hmin lo	ADJ
hmin loh	ADJ
hmin sa	ADJ
hmin tha	ADJ
hmin ṭha	ADJ
hmin tuah	ADJ
hmin ṭuah	ADJ
hmuh chhuah rual loh	ADJ
hmuh thiam	ADJ
hmuh tlang theih	ADJ
hmui buk	ADJ
hmùi buk	ADJ
hmui bum lian	ADJ
hmùi bum lian	ADJ
hmui chhah	ADJ
hmùi chhah	ADJ
hmui mim chip zum	ADJ
hmui mîm chip zum	ADJ
hmûi mim chip zum	ADJ
hmûi mîm chip zum	ADJ
hmui ngah	ADJ
hmuipui pu	ADJ
hmûipui pu	ADJ
hmul ngah	ADJ
hnai lak	ADJ
hnai suf	ADJ
hnaisai lo	ADJ
hnam dang	ADJ
hnam laktla	ADJ
hnam ze tinreng	ADJ
hnang hnang	ADJ
hnawih theih	ADJ
hnial dang	ADJ
hnim pet	ADJ
hnuk hnuk	ADJ
hnute hne lai	ADJ
hrang hrang	ADJ
hrat khawkheng	ADJ
hrawt hrawt	ADJ
hre hre	ADJ
hreipui ha	ADJ
hrek hrek	ADJ
hri bawraw	ADJ
hrivei that	ADJ
hrohrang chhe	ADJ
hrohrang chhia	ADJ
hrohrang chhiat	ADJ
hruah hruah	ADJ
hruai hrat	ADJ
hruai sual	ADJ
hruam hruam	ADJ
hrut khawk	ADJ
hu chhuah	ADJ
hu hu	ADJ
hû hu	ADJ
hû hû	ADJ
hu nat	ADJ
hu nei	ADJ
huau huau	ADJ
huâu huâu	ADJ
huh chhuah	ADJ
huh huh	ADJ
huih thlak	ADJ
huiu huau	ADJ
hulh hulh	ADJ
hun chep	ADJ
hun chêp	ADJ
hun nei	ADJ
hun tepter	ADJ
hun teptêr	ADJ
hut hut	ADJ
in uai	ADJ
in unau	ADJ
inchawih tawk	ADJ
inchei dan	ADJ
inchhang zing	ADJ
inkai hluai	ADJ
inkai theih	ADJ
inrunral thiam	ADJ
inrunrâl thiam	ADJ
inrunril thiam	ADJ
ir awm	ADJ
ir er	ADJ
ir êr	ADJ
îr er	ADJ
îr êr	ADJ
jawng hmangthiam	ADJ
jawng tlem	ADJ
kai phar	ADJ
kai theih	ADJ
kal bosan	ADJ
kal chhuak	ADJ
kal thei	ADJ
kal thei tir	ADJ
kara tlak	ADJ
karh karh	ADJ
karkalak zau	ADJ
kaw khawh	ADJ
kaw lawi lo	ADJ
kaw lo	ADJ
kaw to	ADJ
kawh ruk	ADJ
kaw-lawi lo	ADJ
kawt hmun	ADJ
ke khai	ADJ
ke khingbai	ADJ
ker ker	ADJ
ket lawk	ADJ
keuh keuh	ADJ
kham kai	ADJ
kham khawp	ADJ
khan kai	ADJ
khan lo	ADJ
khang khan	ADJ
khâng khân	ADJ
khap bet	ADJ
khar phui	ADJ
khár phui	ADJ
khat chuan	ADJ
khaw hmu	ADJ
khaw hmuh	ADJ
khaw hmuh theihna	ADJ
khaw leilung	ADJ
khaw nu khaw pa	ADJ
khaw serh ni	ADJ
khaw te	ADJ
khaw té	ADJ
khaw tha	ADJ
khaw ţha	ADJ
khaw thal	ADJ
khaw ţhâl	ADJ
khaw thawt	ADJ
khaw thengthaw	ADJ
khaw thian	ADJ
khaw thim	ADJ
khaw tin khaw tangah	ADJ
khaw tina	ADJ
khaw tinah	ADJ
khaw tlaipui	ADJ
khaw zâwl	ADJ
khawbring tui fai	ADJ
khawfing chat	ADJ
khawfîng chat	ADJ
khawhar zai sak	ADJ
khawhar zu	ADJ
khawhring tui ţai	ADJ
khawi lak	ADJ
khawi vab	ADJ
khawia kimah	ADJ
khawiah va suh	ADJ
khawih tah	ADJ
khawihli fahrah	ADJ
khawihli zang	ADJ
khawl khawm	ADJ
khâwl khâwm	ADJ
khawla chhu	ADJ
khawla chhut	ADJ
khawlai thlî	ADJ
khawlai ung	ADJ
khâwlchhut in	ADJ
khawlh ring	ADJ
khawlian thlawhhma chen	ADJ
khawmual lawng	ADJ
khawmual thizil	ADJ
khawn ai	ADJ
khàwn ai	ADJ
khàwn tlak	ADJ
khawng thlu	ADJ
khawng thluk	ADJ
khawngaih hmêl put	ADJ
khawngaih thla lak	ADJ
khawngaih thla lâk	ADJ
khawngaihna lak	ADJ
khawngaihna lâk	ADJ
khàwnvar puan	ADJ
khàwnvár puan	ADJ
khawp a	ADJ
khawp lai hialin	ADJ
khawpkham lo	ADJ
khawpui rik	ADJ
khawpui rîk	ADJ
khawrh fai	ADJ
khawsa mawh	ADJ
khawsa thei	ADJ
khawsak rel	ADJ
khawsik damdawi	ADJ
khawsik damdawi thing	ADJ
khawte thlawhhma chen	ADJ
khawthar sât	ADJ
khawthiang tuipui	ADJ
khawthiang vahui	ADJ
khawthlang khawhin	ADJ
khawthlang lam	ADJ
khawthlang vahui	ADJ
khawtlang lunglènin	ADJ
khawtlang lungtena	ADJ
khawvar tirh aţangin	ADJ
khawvâr tirh aţangin	ADJ
khei lo	ADJ
khel lovin	ADJ
khēl lovin	ADJ
khelh khelh	ADJ
khem khum	ADJ
kheng thlawn	ADJ
kher chhuak	ADJ
kher lo	ADJ
kheuh kheuh	ADJ
khi chat	ADJ
khik chah	ADJ
khing hnih	ADJ
khing khatin	ADJ
khing khi	ADJ
khir siam	ADJ
khìr siam	ADJ
khita tangin	ADJ
khita ţangin	ADJ
khita... khi	ADJ
khitah khian	ADJ
khu ruai	ADJ
khua hmu	ADJ
khua hmu lo	ADJ
khua hmuh theihna	ADJ
khua hniam	ADJ
khua leh vang	ADJ
khua leh vàng	ADJ
khua rei	ADJ
khua ró	ADJ
khua san	ADJ
khua sang	ADJ
khua tha	ADJ
khua ţha	ADJ
khua thal	ADJ
khua ţhâl	ADJ
khua thengthaw	ADJ
khua thengthawt	ADJ
khua thengthâwt	ADJ
khua thian	ADJ
khua thim	ADJ
khua tlaipui	ADJ
khua vêng	ADJ
khua	 thiang	ADJ
khuai chawl	ADJ
khuàlbûk vengtu	ADJ
khuàlbûk vêngtu	ADJ
khuàn hnihna	ADJ
khuang tum	ADJ
khuavang samsuih	ADJ
khuavang zia	ADJ
khuih khuih	ADJ
khuk ruai	ADJ
khûk ruai	ADJ
khul khul	ADJ
khulh khulh	ADJ
khum lu	ADJ
khum mawng	ADJ
khumpui kai	ADJ
khung lut	ADJ
khung lût	ADJ
khup du-rusuih	ADJ
khûp dû-rusuih	ADJ
khup kawi ruh	ADJ
khûp kawi ruh	ADJ
khup khat hmu	ADJ
khup khup	ADJ
khup lup	ADJ
khup tung	ADJ
khûp tung	ADJ
khur khur	ADJ
khuta khu	ADJ
khutiang bawkin	ADJ
khutiang khu	ADJ
ki lên	ADJ
ki zawnna	ADJ
kiah kiah	ADJ
kian thawl	ADJ
kian thâwl	ADJ
kiang hnai	ADJ
kiang hnaiah	ADJ
kiang vela mi	ADJ
kiang vêla mi	ADJ
kiar kiar	ADJ
kil tin kil tangah	ADJ
kil tinah	ADJ
kilhna ţial	ADJ
kim chiat	ADJ
kim takin	ADJ
king an hrui	ADJ
kip hlum	ADJ
kir leh	ADJ
kit tiak	ADJ
koh kah	ADJ
koh ko khawm	ADJ
koh thawh	ADJ
koh tho	ADJ
koki ruh	ADJ
koki vuan	ADJ
kokia chhuang	ADJ
kua zut	ADJ
kua zût	ADJ
kuah chilh	ADJ
kuah kuah	ADJ
kuai vir	ADJ
kuain zut	ADJ
kuak rawn	ADJ
kuâk rawn	ADJ
kual khung	ADJ
kuàl khung	ADJ
kuang ur	ADJ
kuâng ur	ADJ
kui tiak	ADJ
kul run	ADJ
kùl rùn	ADJ
kum vei	ADJ
kum zabi	ADJ
kumpui linglet	ADJ
kung khâl	ADJ
kung khil	ADJ
kur lek luk	ADJ
kur lēk lūk	ADJ
kut rual	ADJ
kut ruh	ADJ
kût ṭiak tûka dawlrep bai hmeh ang	ADJ
kut zum	ADJ
kut zungṭang	ADJ
kuta zaizir	ADJ
kut-ke hmawr	ADJ
kutkem nei	ADJ
kutkem neih	ADJ
kutphah bêng	ADJ
kutphah dawm	ADJ
kutphah tlum	ADJ
kuttum hmuh	ADJ
kuttum lek	ADJ
kutze en	ADJ
kutze en thiam	ADJ
kutzia en	ADJ
lai dur	ADJ
lâi khuar	ADJ
lai la lain	ADJ
lai lai	ADJ
lai len huai	ADJ
lai lèn huai	ADJ
lai zawl	ADJ
laih dur	ADJ
laih dùr	ADJ
laih zawl	ADJ
laih zâwl	ADJ
laihrui nat	ADJ
laihrui zawmpui	ADJ
laiking tuibur tulh ang	ADJ
lailan tui pal	ADJ
lailen tui pal	ADJ
lailet der	ADJ
lainat hlawh	ADJ
lainat thei	ADJ
lak zamsak	ADJ
lâk zamsak	ADJ
lakher mawsawla	ADJ
lala thut	ADJ
lalah thu	ADJ
lam ţhuam	ADJ
lam ṭhuam	ADJ
lamthlang rapthla	ADJ
lan mâwi	ADJ
lan ngo	ADJ
lang mâwi	ADJ
lang ngo	ADJ
larking changdam	ADJ
lasizawl i	ADJ
lâw lâw	ADJ
lawh thlak	ADJ
lawih lawih	ADJ
lawk thlâk	ADJ
lawk thlik	ADJ
lawm takin	ADJ
làwm takin	ADJ
lawm thei	ADJ
làwm zawng	ADJ
làwm zâwng	ADJ
lawmnachang hria	ADJ
lawm-rual hawn a hun ta	ADJ
lawng karna	ADJ
lawng karna fung	ADJ
lawng veng	ADJ
lawng vêng	ADJ
làwr lawr	ADJ
làwr lâwr	ADJ
le le	ADJ
lē len	ADJ
le lo	ADJ
lé lo	ADJ
leh fo	ADJ
leh hawi	ADJ
leh tidanglam	ADJ
leh zawk	ADJ
lehkha zir	ADJ
lehlam hawisan	ADJ
lehlam lehlam	ADJ
lehzual sauh	ADJ
lei leh van kar	ADJ
lei leh vàn kar	ADJ
lei leh van tia	ADJ
lei leh vàn tia	ADJ
lei leh van tiat	ADJ
lei leh van tiât	ADJ
lei tlang	ADJ
lei tum	ADJ
leiba ṭhin	ADJ
lei-laih chah	ADJ
leilawn dawh	ADJ
leilàwn dawh	ADJ
leilung lang	ADJ
leilung luah	ADJ
lék lék	ADJ
lek phei chu	ADJ
lek phei chuan	ADJ
lem thiam	ADJ
lêm thiam	ADJ
lemlawi tum	ADJ
lemlàwi tum	ADJ
len vawrh	ADJ
lèn vawrh	ADJ
lèndêng kethiah fai	ADJ
leng thu	ADJ
leng za	ADJ
lêng-lai thih	ADJ
lêng-lâi thih	ADJ
lengten hun	ADJ
lênhlîng hrui	ADJ
lênhlîng hruí	ADJ
lep lep	ADJ
lêp lêp	ADJ
let tup	ADJ
let tup tup	ADJ
leuh leuh	ADJ
li lehthal	ADJ
li na	ADJ
liah hmeh	ADJ
liam châng	ADJ
liam liam	ADJ
lian awm	ADJ
lian tak	ADJ
lian tual tual	ADJ
liandova sepui chi tha ang	ADJ
liang tu	ADJ
liangsei vaihlo	ADJ
liankuala lak chhuah ni awm tak	ADJ
liankuala vaihlo	ADJ
liantual tuala	ADJ
liau liau	ADJ
lih pum	ADJ
lim lim	ADJ
lirhbiang chaih	ADJ
lo zawh	ADJ
loh vêk leh	ADJ
loh zawngin	ADJ
lu zawrh	ADJ
lu zuar	ADJ
lû-a kelsam to	ADJ
lû-a kelsam ṭo	ADJ
luak tichhuak	ADJ
luâk tichhuak	ADJ
luan za	ADJ
luàn zà	ADJ
luâng za	ADJ
luâng zà	ADJ
luh thlu	ADJ
luh thluk	ADJ
luh thlûk	ADJ
luh-lul chhuah	ADJ
lui kuang	ADJ
lui té	ADJ
lui thlawr	ADJ
luih hram hram	ADJ
lui-hnar kin	ADJ
lui-hnâr kin	ADJ
luitan loh	ADJ
luitang lo	ADJ
lukhum khum	ADJ
lul lo	ADJ
lum lût	ADJ
lum reng	ADJ
lun lo	ADJ
lun loh	ADJ
lung te	ADJ
lung tiawi lo	ADJ
lung zing	ADJ
lunga den	ADJ
lunga vawm	ADJ
lunga vâwm	ADJ
lungai tlak zawng	ADJ
lungâi tlâk zâwng	ADJ
lungawi loh	ADJ
lungâwi loh	ADJ
lungawi thei lo tak	ADJ
lungâwi thei lo tak	ADJ
lungawi thei tak	ADJ
lungawi theí tak	ADJ
lungâwi thei tak	ADJ
lungâwi theí tak	ADJ
lungchhe vankaiin	ADJ
lunge him	ADJ
lungkùna zawng zat	ADJ
lunglen zai	ADJ
lunglèn zai	ADJ
lungleng thei	ADJ
lunglêng thei	ADJ
lungman tam	ADJ
lungphum rem	ADJ
lungphûm rem	ADJ
lungpui dorûk	ADJ
lungpui sa	ADJ
lungs vawm	ADJ
lungte thai meuh in	ADJ
lungti ni	ADJ
mah mah	ADJ
mahni awm awma awm	ADJ
mahni duha awm	ADJ
mahni inthiâr fihlim	ADJ
mahni inthiâr fihlîm	ADJ
mahni inthiar fihlim thei	ADJ
mahni inthiar fihlîm thei	ADJ
mahni thu hmang	ADJ
maian hawp	ADJ
maih keng kawng	ADJ
maih keng kâwng	ADJ
maih kêng kawng	ADJ
maih kêng kâwng	ADJ
maih king	ADJ
maih king kawng	ADJ
màimawm ril	ADJ
maimi zial	ADJ
mâkpa zangkàng	ADJ
malh malh	ADJ
malin zawng	ADJ
malpui ruh	ADJ
maltluan châwiin	ADJ
mamawh phuhruk	ADJ
mamawh phuhrûk	ADJ
man nei	ADJ
man pêk	ADJ
man takin	ADJ
man tesêp	ADJ
man tir	ADJ
manding sap	ADJ
manding sâp	ADJ
mang ti-ang	ADJ
mangkhawng	 chhuang	 chhuan	ADJ
mar deh	ADJ
mar zan	ADJ
mat mat	ADJ
măt măt	ADJ
mau tuai	ADJ
mawih lo	ADJ
mawng ping	ADJ
mawng rit	ADJ
mawng zan	ADJ
mawng zang	ADJ
mawngtam bawr	ADJ
mawza sei	ADJ
mei tuah	ADJ
mei vil	ADJ
meihawl rawh	ADJ
meipek silai	ADJ
meitalh bawm	ADJ
meivap dahna	ADJ
meivâp dahna	ADJ
meizu mi	ADJ
mel veng	ADJ
mêl vêng	ADJ
melh melh	ADJ
melh rum	ADJ
mêna thlak	ADJ
meng tal	ADJ
meuh lo	ADJ
mi en khalh	ADJ
mi ên khalh	ADJ
mi eng	ADJ
mi lèm thiam	ADJ
mi lem ziak	ADJ
mi lenglam	ADJ
mi lenglâm	ADJ
mi man	ADJ
mi man mi	ADJ
mi thin khei zâwng takin	ADJ
mi thleng	ADJ
mi tin ti mang	ADJ
mi tlahlang	ADJ
mi velh hman	ADJ
mi velh hmang	ADJ
mi vervek	ADJ
mi zai in	ADJ
mi zuanzang	ADJ
miah lo	ADJ
mihring tlin loh	ADJ
mihring tling lo	ADJ
mi-lem siamchawp	ADJ
mi-lem ziak	ADJ
mîm tui pâwl	ADJ
mipa thut	ADJ
mipa ṭhut	ADJ
mipat pui	ADJ
mipui pung khawm	ADJ
mit da	ADJ
mit fuktir	ADJ
mit fûktir	ADJ
mit hip	ADJ
mit kham	ADJ
mit khap	ADJ
mit khap kar lovin	ADJ
mit khing siai	ADJ
mit ko vun	ADJ
mit ngo	ADJ
mit titlung	ADJ
mit vun	ADJ
mita lungte phum ang	ADJ
mita lungte phûm ang	ADJ
mit-dawi-vaih thiam	ADJ
mithi zing tho	ADJ
mithî zîng tho	ADJ
mit-khap kar lovin	ADJ
mit-khap kâr lovin	ADJ
mit-khaw hmu lo	ADJ
mitmei veng	ADJ
mitmeng phe ruai	ADJ
mitmeng phê ruai	ADJ
mitthi zawngtah	ADJ
mitthim thum	ADJ
mitthla hmu	ADJ
mitthla hmuh	ADJ
mittui tlak	ADJ
mittui tling	ADJ
mitvarr man	ADJ
mizo valmim	ADJ
mizo zial	ADJ
mon kham	ADJ
mu hlum	ADJ
